player_id,event,points_md,xmins_md,opponent_team,was_home
1,21,5.8,90,14,true
2,21,4.2,90,3,false
3,21,3.5,90,17,true
4,21,4.8,90,12,true
5,21,6.2,90,14,true
6,21,5.8,90,14,true
7,21,5.2,90,3,false
8,21,4.8,90,5,true
9,21,4.5,90,2,false
10,21,4.2,90,3,false
11,21,3.8,90,12,true
12,21,4.2,90,18,false
13,21,4.8,90,9,true
14,21,4.0,90,2,true
15,21,9.5,90,3,false
16,21,8.2,90,2,true
17,21,7.5,90,14,true
18,21,5.8,90,5,false
19,21,5.5,90,14,true
20,21,5.2,90,17,false
21,21,5.0,90,12,true
22,21,4.8,90,3,false
23,21,4.5,90,9,true
24,21,5.5,90,11,true
25,21,9.2,90,5,true
26,21,7.5,90,12,true
27,21,6.2,90,11,true
28,21,5.8,90,2,true
29,21,6.0,90,18,false
30,21,4.8,90,9,true
1,22,5.5,90,8,false
2,22,4.0,90,12,true
3,22,3.8,90,9,false
4,22,4.5,90,2,false
5,22,5.8,90,8,false
6,22,5.5,90,8,false
7,22,5.5,90,12,true
8,22,5.2,90,11,false
9,22,4.8,90,17,true
10,22,4.5,90,12,true
11,22,4.0,90,2,false
12,22,4.5,90,3,true
13,22,5.0,90,14,false
14,22,4.2,90,17,false
15,22,9.2,90,12,true
16,22,7.8,90,17,false
17,22,7.2,90,8,false
18,22,6.0,90,11,true
19,22,5.8,90,8,false
20,22,5.0,90,9,true
21,22,5.2,90,2,false
22,22,5.0,90,12,true
23,22,4.8,90,14,false
24,22,5.2,90,5,false
25,22,9.8,90,11,false
26,22,7.2,90,2,false
27,22,6.5,90,5,false
28,22,6.0,90,17,false
29,22,5.8,90,3,true
30,22,5.0,90,14,false
